Tickersymbol,YahooTicker,YahooExchange,CompanyName
CTT,CTT.ST,Stockholm Stock Exchange,Yahoo Finance
DIOS,DIOS.ST,Stockholm Stock Exchange,Yahoo Finance
DUNI,DUNI.ST,Stockholm Stock Exchange,Yahoo Finance
DUST,DUSTST,Stockholm Stock Exchange,Yahoo Finance
DYVOX,DYVOX.ST,Stockholm Stock Exchange,Yahoo Finance
EAST,EAST.ST,Stockholm Stock Exchange,Yahoo Finance
ELAN B,ELAN-B.ST,Stockholm Stock Exchange,Yahoo Finance
EMIL B,EMIL-B.ST,Stockholm Stock Exchange,Yahoo Finance
EMIL PREF,EMIL-PREF.ST,Stockholm Stock Exchange,Yahoo Finance
ENEA,ENEA.ST,Stockholm Stock Exchange,Yahoo Finance
EOLU B,EOLU-B.ST,Stockholm Stock Exchange,Yahoo Finance
EPEN,EPENST,Stockholm Stock Exchange,Yahoo Finance
EWRK,EWRK.ST,Stockholm Stock Exchange,Yahoo Finance
FAG,FAG.ST,Stockholm Stock Exchange,Yahoo Finance
FG,FGST,Stockholm Stock Exchange,Yahoo Finance
FLERIE,FLERIE.ST,Stockholm Stock Exchange,Yahoo Finance
FMM B,FMM-B.ST,Stockholm Stock Exchange,Yahoo Finance
GPG,GPG.ST,Stockholm Stock Exchange,Yahoo Finance
G2M,G2M.ST,Stockholm Stock Exchange,Yahoo Finance
GREEN,GREEN.ST,Stockholm Stock Exchange,Yahoo Finance
HNSA,HNSA.ST,Stockholm Stock Exchange,Yahoo Finance
HANZA,HANZA.ST,Stockholm Stock Exchange,Yahoo Finance
HEBA B,HEBA-B.ST,Stockholm Stock Exchange,Yahoo Finance
HTRO,HTRO.ST,Stockholm Stock Exchange,Yahoo Finance
HOFI,HOFI.ST,Stockholm Stock Exchange,Yahoo Finance
HUM,HUMST,Stockholm Stock Exchange,Yahoo Finance
HUMBLE,HUMBLE.ST,Stockholm Stock Exchange,Yahoo Finance
IAR B,IAR-B.ST,Stockholm Stock Exchange,Yahoo Finance
INSTAL,INSTALST,Stockholm Stock Exchange,Yahoo Finance
INTEA B,INTEA-B.ST,Stockholm Stock Exchange,Yahoo Finance
INTEA D,INTEA-D.ST,Stockholm Stock Exchange,Yahoo Finance
INTRUM,INTRUM.ST,Stockholm Stock Exchange,Yahoo Finance
IVSO,IVSOST,Stockholm Stock Exchange,Yahoo Finance
INWI,INWI.ST,Stockholm Stock Exchange,Yahoo Finance
ITAB,ITAB.ST,Stockholm Stock Exchange,Yahoo Finance
JOMA,JOMA.ST,Stockholm Stock Exchange,Yahoo Finance
KFAST B,KFAST-B.ST,Stockholm Stock Exchange,Yahoo Finance
KABE B,KABE-B.ST,Stockholm Stock Exchange,Yahoo Finance
KAR,KARST,Stockholm Stock Exchange,Yahoo Finance
KLARA B,KLARA-B.ST,Stockholm Stock Exchange,Yahoo Finance
KNOW,KNOWST,Stockholm Stock Exchange,Yahoo Finance
LIME,LIMEST,Stockholm Stock Exchange,Yahoo Finance
LINC,LINCST,Stockholm Stock Exchange,Yahoo Finance
LOGI A,LOGI-A.ST,Stockholm Stock Exchange,Yahoo Finance
LOGI B,LOGI-B.ST,Stockholm Stock Exchange,Yahoo Finance
MCAP,MCAPST,Stockholm Stock Exchange,Yahoo Finance
MEKO,MEKO.ST,Stockholm Stock Exchange,Yahoo Finance
MILDEF,MILDEF.ST,Stockholm Stock Exchange,Yahoo Finance
MMGR B,MMGR-B.ST,Stockholm Stock Exchange,Yahoo Finance
MTG A,MTG-A.ST,Stockholm Stock Exchange,Yahoo Finance
MTG B,MTG-B.ST,Stockholm Stock Exchange,Yahoo Finance
NMAN,NMAN.ST,Stockholm Stock Exchange,Yahoo Finance
NEOBO,NEOBO.ST,Stockholm Stock Exchange,Yahoo Finance
NETI B,NETI-B.ST,Stockholm Stock Exchange,Yahoo Finance
NIVI B,NIVI-B.ST,Stockholm Stock Exchange,Yahoo Finance
NOBI,NOBIST,Stockholm Stock Exchange,Yahoo Finance
NPAPER,NPAPER.ST,Stockholm Stock Exchange,Yahoo Finance
NORION,NORION.ST,Stockholm Stock Exchange,Yahoo Finance
NORVA,NORVA.ST,Stockholm Stock Exchange,Yahoo Finance
NOTE,NOTEST,Stockholm Stock Exchange,Yahoo Finance
ORRON,ORRON.ST,Stockholm Stock Exchange,Yahoo Finance
PLAZ B,PLAZ-B.ST,Stockholm Stock Exchange,Yahoo Finance
PCELL,PCELL.ST,Stockholm Stock Exchange,Yahoo Finance
PRIC B,PRIC-B.ST,Stockholm Stock Exchange,Yahoo Finance
PRISMA,PRISMA.ST,Stockholm Stock Exchange,Yahoo Finance
PACT,PACTST,Stockholm Stock Exchange,Yahoo Finance
PRFO,PRFO.ST,Stockholm Stock Exchange,Yahoo Finance
RATO A,RATO-A.ST,Stockholm Stock Exchange,Yahoo Finance
RATO B,RATO-B.ST,Stockholm Stock Exchange,Yahoo Finance
RAY B,RAY-B.ST,Stockholm Stock Exchange,Yahoo Finance
REJL B,REJL-B.ST,Stockholm Stock Exchange,Yahoo Finance
RESURS,RESURS.ST,Stockholm Stock Exchange,Yahoo Finance
RVRC,RVRCST,Stockholm Stock Exchange,Yahoo Finance
RROS,RROS.ST,Stockholm Stock Exchange,Yahoo Finance
